image_path,review,sentiment
dataset-images/negative/6302667502,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",negative
dataset-images/positive/5594251333,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive
dataset-images/positive/2736648123,The waitresses are very friendly.,positive
dataset-images/positive/6234336094,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",positive
dataset-images/positive/3727614777,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,positive
dataset-images/negative/5264882047,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative
dataset-images/negative/5232455079,The service here leaves a lot to be desired.,negative
dataset-images/positive/6004236528,"The atmosphere is modern and hip, while maintaining a touch of coziness.",positive
dataset-images/positive/4503381953,"Not a weekly haunt, but definitely a place to come back to every once in a while.",positive
dataset-images/negative/3557351815,We literally sat there for 20 minutes with no one asking to take our order.,negative
dataset-images/negative/428224714,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",negative
dataset-images/negative/3398082316,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,negative
dataset-images/negative/5459150665,I dressed up to be treated so rudely!,negative
dataset-images/negative/6222145184,It was probably dirt.,negative
dataset-images/positive/5367248082,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",positive
dataset-images/positive/5472564814,I ordered the Lemon raspberry ice cocktail which was also incredible.,positive
dataset-images/negative/7346218214,"The food sucked, which we expected but it sucked more than we could have imagined.",negative
dataset-images/positive/2968396626,Interesting decor.,positive
dataset-images/positive/4538933133,What I really like there is the crepe station.,positive
dataset-images/positive/5606922439,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",positive
dataset-images/positive/229450790,you can watch them preparing the delicious food!),positive
dataset-images/positive/3648743160,Both of the egg rolls were fantastic.,positive
dataset-images/negative/2589466455,"When my order arrived, one of the gyros was missing.",negative
dataset-images/positive/3831397287,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive
dataset-images/negative/7298514784,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,negative
dataset-images/positive/4459258282,The best place to go for a tasty bowl of Pho!,positive
dataset-images/negative/2878837570,The live music on Fridays totally blows.,negative
dataset-images/negative/109521306,I've never been more insulted or felt disrespected.,negative
dataset-images/positive/1428492576,Very friendly staff.,positive
dataset-images/positive/4296915971,It is worth the drive.,positive
dataset-images/positive/4141485568,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",positive
dataset-images/positive/95128957,Food was great and so was the serivce!,positive
dataset-images/negative/4282542856,The warm beer didn't help.,negative
dataset-images/positive/3731740724,Great brunch spot.,positive
dataset-images/positive/2929955072,Service is friendly and inviting.,positive
dataset-images/positive/4841021120,Very good lunch spot.,positive
dataset-images/negative/2665292553,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,negative
dataset-images/negative/896200985,The WORST EXPERIENCE EVER.,negative
dataset-images/negative/5006695471,Must have been an off night at this place.,negative
dataset-images/positive/6760884567,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",positive
dataset-images/negative/4193077019,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative
dataset-images/negative/201935939,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",negative
dataset-images/positive/4356106589,My friend loved the salmon tartar.,positive
dataset-images/negative/4365597869,Won't go back.,negative
dataset-images/positive/4766765752,Extremely Tasty!,positive
dataset-images/positive/3690254804,Waitress was good though!,positive
dataset-images/negative/5321583099,Soggy and not good.,negative
dataset-images/positive/2515555633,The Jamaican mojitos are delicious.,positive
dataset-images/negative/5885512860,Which are small and not worth the price.,negative
dataset-images/positive/3263796777,- the food is rich so order accordingly.,positive
dataset-images/negative/3535874503,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative
dataset-images/negative/4800788555,The service was a bit lacking.,negative
dataset-images/negative/7081950937,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",negative
dataset-images/negative/4807488273,Hopefully this bodes for them going out of business and someone who can cook can come in.,negative
dataset-images/negative/4906209348,"It was either too cold, not enough flavor or just bad.",negative
dataset-images/positive/2104313896,I loved the bacon wrapped dates.,positive
dataset-images/positive/6125190503,This is an unbelievable BARGAIN!,positive
dataset-images/positive/5790562345,The folks at Otto always make us feel so welcome and special.,positive
dataset-images/negative/6850601547,"As for the ""mains,"" also uninspired.",negative
dataset-images/positive/5029571975,This is the place where I first had pho and it was amazing!!,positive
dataset-images/positive/1850458468,This wonderful experience made this place a must-stop whenever we are in town again.,positive
dataset-images/negative/2932829103,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",negative
dataset-images/positive/505012300,Very very fun chef.,positive
dataset-images/negative/6958481195,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative
dataset-images/positive/6080320310,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,positive
dataset-images/negative/6393456513,"If it were possible to give them zero stars, they'd have it.",negative
dataset-images/negative/6003883717,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",negative
dataset-images/positive/513936394,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",positive
dataset-images/negative/5083736222,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative
dataset-images/positive/1574503060,"Everyone is very attentive, providing excellent customer service.",positive
dataset-images/negative/500274061,Horrible - don't waste your time and money.,negative
dataset-images/positive/6264308622,Now this dish was quite flavourful.,positive
dataset-images/negative/6674313771,By this time our side of the restaurant was almost empty so there was no excuse.,negative
dataset-images/negative/5963206262,"(It wasn't busy either) Also, the building was FREEZING cold.",negative
dataset-images/negative/5903660498,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",negative
dataset-images/negative/5505781534,-Drinks took close to 30 minutes to come out at one point.,negative
dataset-images/positive/469245445,"Seriously flavorful delights, folks.",positive
dataset-images/positive/6080886857,Much better than the other AYCE sushi place I went to in Vegas.,positive
dataset-images/positive/4317007876,The lighting is just dark enough to set the mood.,positive
dataset-images/negative/4428796957,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,negative
dataset-images/positive/3837713764,Owner's are really great people.!,positive
dataset-images/negative/3989427470,There is nothing privileged about working/eating there.,negative
dataset-images/positive/2451213069,The Greek dressing was very creamy and flavorful.,positive
dataset-images/negative/2288742179,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",negative
dataset-images/positive/2680161781,Now the pizza itself was good the peanut sauce was very tasty.,positive
dataset-images/positive/70738723,We had 7 at our table and the service was pretty fast.,positive
dataset-images/positive/6469844363,Fantastic service here.,positive
dataset-images/negative/3011224934,I as well would've given godfathers zero stars if possible.,negative
dataset-images/positive/5947974582,They know how to make them here.,positive
dataset-images/negative/5840111755,very tough and very short on flavor!,negative
dataset-images/positive/4749987292,I hope this place sticks around.,positive
dataset-images/negative/3157310717,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",negative
dataset-images/positive/6524378479,The restaurant atmosphere was exquisite.,positive
dataset-images/positive/69699200,"Good service, very clean, and inexpensive, to boot!",positive
dataset-images/positive/5942464673,The seafood was fresh and generous in portion.,positive
dataset-images/positive/5699072147,"Plus, it's only 8 bucks.",positive
dataset-images/negative/2934188078,"The service was not up to par, either.",negative
dataset-images/positive/3829726824,"Thus far, have only visited twice and the food was absolutely delicious each time.",positive
dataset-images/positive/4889965336,Just as good as when I had it more than a year ago!,positive
dataset-images/negative/5575748661,"For a self proclaimed coffee cafe, I was wildly disappointed.",negative
dataset-images/positive/5749297171,The Veggitarian platter is out of this world!,positive
dataset-images/positive/5419344878,You cant go wrong with any of the food here.,positive
dataset-images/positive/3052890192,You can't beat that.,positive
dataset-images/positive/368286443,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",positive
dataset-images/positive/6897068846,The chefs were friendly and did a good job.,positive
dataset-images/negative/2735375458,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",negative
dataset-images/positive/3778718189,I liked the patio and the service was outstanding.,positive
dataset-images/positive/155628212,The goat taco didn't skimp on the meat and wow what FLAVOR!,positive
dataset-images/negative/2176508343,I think not again,negative
dataset-images/negative/5644132912,I had the mac salad and it was pretty bland so I will not be getting that again.,negative
dataset-images/positive/5696158390,I went to Bachi Burger on a friend's recommendation and was not disappointed.,positive
dataset-images/negative/6906175018,Service stinks here!,negative
dataset-images/negative/5572566457,I waited and waited.,negative
dataset-images/negative/3241509289,"This place is not quality sushi, it is not a quality restaurant.",negative
dataset-images/positive/5159285863,I would definitely recommend the wings as well as the pizza.,positive
dataset-images/positive/3305669928,Great Pizza and Salads!,positive
dataset-images/negative/6924059362,Things that went wrong: - They burned the saganaki.,negative
dataset-images/negative/5101276740,We waited an hour for what was a breakfast I could have done 100 times better at home.,negative
dataset-images/positive/6527754007,This place is amazing!,positive
dataset-images/negative/6110571342,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative
dataset-images/negative/4596930452,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,negative
dataset-images/negative/3329086395,Just don't know why they were so slow.,negative
dataset-images/positive/2455833706,"The staff is great, the food is delish, and they have an incredible beer selection.",positive
dataset-images/negative/3201351280,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative
dataset-images/positive/1533550299,I didn't know pulled pork could be soooo delicious.,positive
dataset-images/positive/5027549996,"You get incredibly fresh fish, prepared with care.",positive
dataset-images/negative/5731575687,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,negative
dataset-images/positive/4761922745,I love the fact that everything on their menu is worth it.,positive
dataset-images/negative/5841832571,Never again will I be dining at this place!,negative
dataset-images/positive/2846437102,The food was excellent and service was very good.,positive
dataset-images/positive/7172276921,Good beer & drink selection and good food selection.,positive
dataset-images/negative/5747641450,Please stay away from the shrimp stir fried noodles.,negative
dataset-images/negative/513849807,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,negative
dataset-images/negative/7037578447,Food was really boring.,negative
dataset-images/positive/6143000472,Good Service-check!,positive
dataset-images/negative/4385476352,This greedy corporation will NEVER see another dime from me!,negative
dataset-images/negative/5514278442,"Will never, ever go back.",negative
dataset-images/negative/483435710,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",negative
dataset-images/positive/131469460,"In the summer, you can dine in a charming outdoor patio - so very delightful.",positive
dataset-images/positive/309758214,I did not expect this to be so good!,positive
dataset-images/positive/223379195,Fantastic food!,positive
dataset-images/negative/4705706158,She ordered a toasted English muffin that came out untoasted.,negative
dataset-images/positive/6947391397,The food was very good.,positive
dataset-images/negative/6945801756,Never going back.,negative
dataset-images/positive/5798092638,"Great food for the price, which is very high quality and house made.",positive
dataset-images/negative/4837636452,The bus boy on the other hand was so rude.,negative
dataset-images/negative/4291540252,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",negative
dataset-images/positive/3672516693,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",positive
dataset-images/positive/2925867994,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",positive
dataset-images/positive/5780744709,All the bread is made in-house!,positive
dataset-images/negative/7280015750,The only downside is the service.,negative
dataset-images/negative/2327117795,"Also, the fries are without a doubt the worst fries I've ever had.",negative
dataset-images/positive/4017017218,Service was exceptional and food was a good as all the reviews.,positive
dataset-images/positive/5404362292,"A couple of months later, I returned and had an amazing meal.",positive
dataset-images/positive/6308828646,Favorite place in town for shawarrrrrrma!!!!!!,positive
dataset-images/positive/782915897,The black eyed peas and sweet potatoes... UNREAL!,positive
dataset-images/positive/269491124,You won't be disappointed.,positive
dataset-images/positive/3502872178,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",positive
dataset-images/negative/3315414355,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",negative
dataset-images/negative/490892865,When my mom and I got home she immediately got sick and she only had a few bites of salad.,negative
dataset-images/negative/4428744841,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,negative
dataset-images/positive/6419775623,"Both of them were truly unbelievably good, and I am so glad we went back.",positive
dataset-images/positive/4146292734,"We had fantastic service, and were pleased by the atmosphere.",positive
dataset-images/negative/2122601416,Everything was gross.,negative
dataset-images/positive/4133358739,I love this place.,positive
dataset-images/positive/2287809597,Great service and food.,positive
dataset-images/negative/2619427327,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,negative
dataset-images/negative/239170157,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",negative
dataset-images/positive/4255600102,"OMG, the food was delicioso!",positive
dataset-images/negative/7194712782,There is nothing authentic about this place.,negative
dataset-images/negative/6540399313,the spaghetti is nothing special whatsoever.,negative
dataset-images/positive/2979772389,"Of all the dishes, the salmon was the best, but all were great.",positive
dataset-images/positive/675617678,The vegetables are so fresh and the sauce feels like authentic Thai.,positive
dataset-images/positive/4835196940,It's worth driving up from Tucson!,positive
dataset-images/negative/7135679399,The selection was probably the worst I've seen in Vegas.....there was none.,negative
dataset-images/positive/4201384713,Pretty good beer selection too.,positive
dataset-images/positive/6152574562,"This place is like Chipotle, but BETTER.",positive
dataset-images/positive/5622379406,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",positive
dataset-images/positive/6836298448,5 stars for the brick oven bread app!,positive
dataset-images/positive/4797429541,"I have eaten here multiple times, and each time the food was delicious.",positive
dataset-images/negative/6878394446,We sat another ten minutes and finally gave up and left.,negative
dataset-images/negative/5284925495,He was terrible!,negative
dataset-images/positive/6253383547,Everyone is treated equally special.,positive
dataset-images/negative/634882399,It shouldn't take 30 min for pancakes and eggs.,negative
dataset-images/positive/5987503339,It was delicious!!!,positive
dataset-images/positive/3779474948,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",positive
dataset-images/negative/4166179171,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative
dataset-images/positive/6914473283,As always the evening was wonderful and the food delicious!,positive
dataset-images/positive/5459310199,Best fish I've ever had in my life!,positive
dataset-images/positive/310470733,(The bathroom is just next door and very nice.),positive
dataset-images/negative/5115149524,The buffet is small and all the food they offered was BLAND.,negative
dataset-images/positive/2530592277,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,positive
dataset-images/positive/6278164886,Pretty cool I would say.,positive
dataset-images/negative/5400136575,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,negative
dataset-images/positive/410575832,Server did a great job handling our large rowdy table.,positive
